"id","name","infoJson","ProjectID","DateUpdated"
763915,Commercial,,474920,2024-03-01 09:38:53.663
425868,Clubs,,1115232,2024-03-01 09:38:53.663
413289,Masonry Restoration,,1115235,2024-03-01 09:38:53.663
412246,Concrete Restoration,,1115240,2024-03-01 09:38:53.663
406531,Institutional,,1121633,2024-03-01 09:38:53.663
406532,Educational,,1121636,2024-03-01 09:38:53.663
406533,Hospitality,,1121637,2024-03-01 09:38:53.663
406534,Healthcare,,1121640,2024-03-01 09:38:53.663
412245,Residential,,1121645,2024-03-01 09:38:53.663
596765,Institutional,,1121646,2023-01-01 09:19:10.733
596773,Educational,,1121649,2024-03-01 09:38:53.663
557863,Multi-Unit,,1124393,2024-03-01 09:38:53.663
596760,Commercial,,1126687,2023-01-01 09:19:10.733
413140,Masonry Restoration,,1129288,2023-01-01 09:19:10.733
596759,Educational,,1133837,2023-01-01 09:19:10.733
411308,Educational,,1133845,2023-01-01 09:19:10.733
413160,Masonry Restoration,,1136614,2023-01-01 09:19:10.733
413295,Masonry Restoration,,1139163,2023-01-01 09:19:10.733
596766,Educational,,1139423,2023-01-01 09:19:10.733
413650,Masonry Restoration,,1140107,2024-03-01 09:38:53.663
414965,Masonry Restoration,,1143693,2023-01-01 09:19:10.733
415124,Masonry Restoration,,1144016,2024-03-01 09:38:53.663
415371,Concrete Restoration,,1144737,2024-03-01 09:38:53.663
416051,Concrete Restoration,,1146707,2024-03-01 09:38:53.663
416295,Concrete Restoration,,1147314,2024-03-01 09:38:53.663
417257,Concrete Restoration,,1149605,2024-03-01 09:38:53.663
417298,Concrete Restoration,,1149672,2023-01-01 09:19:10.733
417315,Concrete Restoration,,1149704,2024-03-01 09:38:53.663
417360,Concrete Restoration,,1149794,2023-01-01 09:19:10.733
417369,Concrete Restoration,,1149813,2023-01-01 09:19:10.733
417382,Concrete Restoration,,1149831,2024-03-01 09:38:53.663
587889,Concrete Restoration,,1149850,2024-03-01 09:38:53.663
