"id","accounting_method","actual_completion_date","approval_letter_date","approved_change_orders","contract_date","contract_start_date","contract_estimated_completion_date","created_at","custom_fields","deleted_at","description","exclusions","executed","execution_date","grand_total","inclusions","issued_on_date","letter_of_intent_date","number","origin_data","origin_code","origin_id","pending_change_orders","pending_revised_contract","percentage_paid","private","remaining_balance_outstanding","requisitions_are_enabled","retainage_percent","returned_date","revised_contract","signed_contract_received_date","status","title","total_draw_requests_amount","total_payments","total_requisitions_amount","updated_at","vendor_id","vendor_company","infoJson","ProjectID","DateUpdated","custom_fields_v2","CompanyID"
4612895,amount,,,0.00,,2020-02-17,,2020-02-12 15:46:27.000,,,"","",false,,0.00,"",,,SC-test-001,,,,0.00,0.00,0.00,true,0.00,true,,,0.00,,Draft,"",0.00,0.00,0.00,2020-02-12 15:46:53.000,8274931,Subcontractor TEST Company,,1144016,2021-12-08 18:01:17.003,"{""custom_field_222572"":{""data_type"":""lov_entry"",""value"":null},""custom_field_222573"":{""data_type"":""string"",""value"":null},""custom_field_222574"":{""data_type"":""rich_text"",""value"":null},""custom_field_222575"":{""data_type"":""rich_text"",""value"":null},""custom_field_222576"":{""data_type"":""boolean"",""value"":null},""custom_field_222577"":{""data_type"":""boolean"",""value"":null},""custom_field_222578"":{""data_type"":""boolean"",""value"":null},""custom_field_251686"":{""data_type"":""boolean"",""value"":null},""custom_field_251687"":{""data_type"":""boolean"",""value"":null},""custom_field_251688"":{""data_type"":""vendor"",""value"":null},""custom_field_251689"":{""data_type"":""vendor"",""value"":null},""custom_field_261502"":{""data_type"":""string"",""value"":null},""custom_field_261503"":{""data_type"":""string"",""value"":null}}",11109
4677821,amount,2022-09-10,,0.00,2022-07-31 00:00:00.000,2022-08-01,2022-09-10,2020-02-25 16:58:50.000,"{""Subcontract Type "":""Standard Subcontract with Exhibits"",""Billing Date"":""25th"",""PO Inclusions"":"""",""PO Exclusions"":"""",""Bond Required"":""No"",""Supplier shall coordinate his materials with other portions of the work and in accordance with job sequencing"":""No"",""Design Build?"":""No""}",,<p>Bid Converted To Contract</p>,<p>sadfsafsfsadf</p>,false,,50000.00,<p>fsfsfsa</p>,2022-07-31 00:00:00.000,,SC-1234-001,,,,0.00,50000.00,0.00,true,50000.00,true,,,50000.00,2022-07-31 00:00:00.000,Approved,Awarded Contract for Subcontracting TEST Company,0.00,0.00,0.00,2022-08-11 20:37:24.000,16754090,NORTH CENTRAL COLLEGE,,474920,2022-08-12 08:48:26.786,"{""custom_field_222572"":{""data_type"":""lov_entry"",""value"":{""id"":165948,""label"":""Standard Subcontract with Exhibits""}},""custom_field_222573"":{""data_type"":""string"",""value"":""25th""},""custom_field_222574"":{""data_type"":""rich_text"",""value"":""<p>PO Inclusions TEST</p>""},""custom_field_222575"":{""data_type"":""rich_text"",""value"":""<p>PO Exclusions TEST</p>""},""custom_field_222576"":{""data_type"":""boolean"",""value"":true},""custom_field_222577"":{""data_type"":""boolean"",""value"":true},""custom_field_222578"":{""data_type"":""boolean"",""value"":false},""custom_field_251686"":{""data_type"":""boolean"",""value"":true},""custom_field_251687"":{""data_type"":""boolean"",""value"":true},""custom_field_251688"":{""data_type"":""vendor"",""value"":{""id"":8274936,""label"":""Architect TEST Company""}},""custom_field_251689"":{""data_type"":""vendor"",""value"":{""id"":17211990,""label"":""B & A CONCRETE RESTORATION LLC""}},""custom_field_261502"":{""data_type"":""string"",""value"":""$10,000""},""custom_field_261503"":{""data_type"":""string"",""value"":""$20,000""}}",11109
4707725,amount,2020-08-19,,2000.00,2020-08-22 00:00:00.000,2020-08-17,2020-08-18,2020-03-02 16:50:34.000,"{""Subcontract Type "":"""",""Billing Date"":"""",""PO Inclusions"":"""",""PO Exclusions"":"""",""Bond Required"":""No"",""Supplier shall coordinate his materials with other portions of the work and in accordance with job sequencing"":""No""}",,<p>Description</p>,"<p>Pellentesque diam massa, cursus ut purus id, malesuada convallis velit. Vestibulum ultrices est libero, at venenatis arcu fringilla non. Sed erat nisi, ultrices eu dolor et, suscipit luctus tortor.",false,,15000.00,"<p><em>Proin sed elit vel sapien blandit condimentum. Mauris metus leo, sagittis eu egestas at, porttitor vitae neque. P</em></p>
<p> </p>
<p><em>roin aliquam orci in placerat posuere. Pellentesque ",2020-08-31 00:00:00.000,,SC-1234-002,,,,0.00,17000.00,0.00,true,17000.00,true,10.00,,17000.00,,Approved,Tile & Stone,0.00,0.00,12060.00,2022-01-25 18:51:51.000,8274931,Subcontractor TEST Company,,474920,2022-03-08 13:00:26.586,"{""custom_field_222572"":{""data_type"":""lov_entry"",""value"":{""id"":165951,""label"":""Standard Subcontract""}},""custom_field_222573"":{""data_type"":""string"",""value"":""""},""custom_field_222574"":{""data_type"":""rich_text"",""value"":""""},""custom_field_222575"":{""data_type"":""rich_text"",""value"":""""},""custom_field_222576"":{""data_type"":""boolean"",""value"":false},""custom_field_222577"":{""data_type"":""boolean"",""value"":false},""custom_field_222578"":{""data_type"":""boolean"",""value"":false},""custom_field_251686"":{""data_type"":""boolean"",""value"":null},""custom_field_251687"":{""data_type"":""boolean"",""value"":null},""custom_field_251688"":{""data_type"":""vendor"",""value"":null},""custom_field_251689"":{""data_type"":""vendor"",""value"":null},""custom_field_261502"":{""data_type"":""string"",""value"":null},""custom_field_261503"":{""data_type"":""string"",""value"":null}}",11109
5477459,amount,,,119987.94,,,,2020-08-18 13:46:00.000,"{""Subcontract Type "":""""}",,"","",true,,381747.00,"",,,SC-4200030-001,,,"4200030-44530851",0.00,501734.94,100.00,true,0.00,true,10.00,,501734.94,,Approved,Concrete repairs,0.00,501734.94,501734.94,2022-01-07 19:43:37.000,17211990,B & A CONCRETE RESTORATION LLC,,1129288,2022-02-21 09:56:32.516,"{""custom_field_222572"":{""data_type"":""lov_entry"",""value"":null},""custom_field_222573"":{""data_type"":""string"",""value"":null},""custom_field_222574"":{""data_type"":""rich_text"",""value"":null},""custom_field_222575"":{""data_type"":""rich_text"",""value"":null},""custom_field_222576"":{""data_type"":""boolean"",""value"":null},""custom_field_222577"":{""data_type"":""boolean"",""value"":null},""custom_field_222578"":{""data_type"":""boolean"",""value"":null},""custom_field_251686"":{""data_type"":""boolean"",""value"":null},""custom_field_251687"":{""data_type"":""boolean"",""value"":null},""custom_field_251688"":{""data_type"":""vendor"",""value"":null},""custom_field_251689"":{""data_type"":""vendor"",""value"":null},""custom_field_251728"":{""data_type"":""decimal"",""value"":null}}",11109
5602659,amount,,,-1907.00,2020-09-16 00:00:00.000,,,2020-09-16 12:26:07.000,"{""Subcontract Type "":""Standard Subcontract with Exhibits"",""Billing Date"":""""}",,"","<p>1. Any work not listed above is not included in our proposal. We will provide pricing on any additional work</p>
<p>2. All work is to be completed by June 1, 2022</p>
<p>3. All work is based on n",true,,29225.00,"<p>Temp lighting</p>
<p>Conduit &amp; New Foundations</p>
<p>Street Light Restoration Plan</p>
<p>Allowance Adders</p>",,,SC-4200030-002,,,"4200030-44588715",0.00,27318.00,100.00,true,0.00,true,10.00,,27318.00,2020-09-24 00:00:00.000,Approved,Lighting,0.00,27318.00,27318.00,2021-10-27 14:33:53.000,16745497,CITY LIGHTS LTD,,1129288,2021-12-08 18:01:17.986,"{""custom_field_222572"":{""data_type"":""lov_entry"",""value"":{""id"":165948,""label"":""Standard Subcontract with Exhibits""}},""custom_field_222573"":{""data_type"":""string"",""value"":""""},""custom_field_222574"":{""data_type"":""rich_text"",""value"":null},""custom_field_222575"":{""data_type"":""rich_text"",""value"":null},""custom_field_222576"":{""data_type"":""boolean"",""value"":null},""custom_field_222577"":{""data_type"":""boolean"",""value"":null},""custom_field_222578"":{""data_type"":""boolean"",""value"":null},""custom_field_251686"":{""data_type"":""boolean"",""value"":null},""custom_field_251687"":{""data_type"":""boolean"",""value"":null},""custom_field_251688"":{""data_type"":""vendor"",""value"":null},""custom_field_251689"":{""data_type"":""vendor"",""value"":null},""custom_field_251728"":{""data_type"":""decimal"",""value"":null}}",11109
5605784,amount,,,0.00,,,,2020-09-16 18:26:50.000,"{""Subcontract Type "":""""}",,"","",true,,12275.00,"",,,SC-4200030-003,,,"4200030-44462682",0.00,12275.00,100.00,true,0.00,true,,,12275.00,,Approved,Concrete Demolition,0.00,12275.00,12275.00,2021-10-27 14:31:14.000,16753792,ALLIANCE CONCRETE SAWING & DRILLING *,,1129288,2021-12-08 18:01:17.986,"{""custom_field_222572"":{""data_type"":""lov_entry"",""value"":null},""custom_field_222573"":{""data_type"":""string"",""value"":null},""custom_field_222574"":{""data_type"":""rich_text"",""value"":null},""custom_field_222575"":{""data_type"":""rich_text"",""value"":null},""custom_field_222576"":{""data_type"":""boolean"",""value"":null},""custom_field_222577"":{""data_type"":""boolean"",""value"":null},""custom_field_222578"":{""data_type"":""boolean"",""value"":null},""custom_field_251686"":{""data_type"":""boolean"",""value"":null},""custom_field_251687"":{""data_type"":""boolean"",""value"":null},""custom_field_251688"":{""data_type"":""vendor"",""value"":null},""custom_field_251689"":{""data_type"":""vendor"",""value"":null},""custom_field_251728"":{""data_type"":""decimal"",""value"":null}}",11109
5629979,amount,,,0.00,,,,2020-09-22 17:27:33.000,"{""Subcontract Type "":""Standard Subcontract with Exhibits"",""Billing Date"":"""",""PO Inclusions"":"""",""PO Exclusions"":"""",""Bond Required"":""No"",""Supplier shall coordinate his materials with other portions of the work and in accordance with job sequencing"":""No""}",,"","",true,,2975.00,"",,,SC-4200030-004,,,"4200030-44609932",0.00,2975.00,100.00,true,0.00,true,,,2975.00,,Approved,Masonry Repairs,0.00,2975.00,2975.00,2021-10-27 14:34:24.000,18935126,HARD SUFACE FINISHER INC,,1129288,2021-12-08 18:01:17.986,"{""custom_field_222572"":{""data_type"":""lov_entry"",""value"":{""id"":165948,""label"":""Standard Subcontract with Exhibits""}},""custom_field_222573"":{""data_type"":""string"",""value"":""""},""custom_field_222574"":{""data_type"":""rich_text"",""value"":""""},""custom_field_222575"":{""data_type"":""rich_text"",""value"":""""},""custom_field_222576"":{""data_type"":""boolean"",""value"":false},""custom_field_222577"":{""data_type"":""boolean"",""value"":false},""custom_field_222578"":{""data_type"":""boolean"",""value"":null},""custom_field_251686"":{""data_type"":""boolean"",""value"":null},""custom_field_251687"":{""data_type"":""boolean"",""value"":null},""custom_field_251688"":{""data_type"":""vendor"",""value"":null},""custom_field_251689"":{""data_type"":""vendor"",""value"":null},""custom_field_251728"":{""data_type"":""decimal"",""value"":null}}",11109
5663269,amount,,,-5066.00,,,,2020-09-29 18:32:12.000,"{""Subcontract Type "":"""",""Billing Date"":"""",""PO Inclusions"":"""",""PO Exclusions"":"""",""Bond Required"":""No"",""Supplier shall coordinate his materials with other portions of the work and in accordance with job sequencing"":""No""}",,"","",true,,64582.00,"",,,SC-4200030-005,,,"4200030-44721793",0.00,59516.00,100.00,true,0.00,true,10.00,,59516.00,,Approved,Beam Installation,0.00,59516.00,59516.00,2021-10-27 14:34:42.000,16737612,RALPH H SIMPSON CO,,1129288,2021-12-08 18:01:17.986,"{""custom_field_222572"":{""data_type"":""lov_entry"",""value"":null},""custom_field_222573"":{""data_type"":""string"",""value"":""""},""custom_field_222574"":{""data_type"":""rich_text"",""value"":""""},""custom_field_222575"":{""data_type"":""rich_text"",""value"":""""},""custom_field_222576"":{""data_type"":""boolean"",""value"":false},""custom_field_222577"":{""data_type"":""boolean"",""value"":false},""custom_field_222578"":{""data_type"":""boolean"",""value"":null},""custom_field_251686"":{""data_type"":""boolean"",""value"":null},""custom_field_251687"":{""data_type"":""boolean"",""value"":null},""custom_field_251688"":{""data_type"":""vendor"",""value"":null},""custom_field_251689"":{""data_type"":""vendor"",""value"":null},""custom_field_251728"":{""data_type"":""decimal"",""value"":null}}",11109
5674265,amount,,,0.00,2020-10-01 00:00:00.000,,,2020-10-01 15:27:25.000,"{""Subcontract Type "":""Standard Subcontract with Exhibits"",""Billing Date"":"""",""PO Inclusions"":"""",""PO Exclusions"":"""",""Bond Required"":""No"",""Supplier shall coordinate his materials with other portions of the work and in accordance with job sequencing"":""No""}",,"","",true,,5908.00,"<p>75’ of jersey barriers delivered, set in place and removed for 8 week duration</p>",,,SC-4200030-006,,,"4200030-44823940",0.00,5908.00,100.00,true,0.00,true,,,5908.00,2020-10-01 00:00:00.000,Approved,Concrete Barricades,0.00,5908.00,5908.00,2021-10-27 14:34:18.000,16741906,GILCO SCAFFOLDING CO LLC,,1129288,2021-12-08 18:01:17.986,"{""custom_field_222572"":{""data_type"":""lov_entry"",""value"":{""id"":165948,""label"":""Standard Subcontract with Exhibits""}},""custom_field_222573"":{""data_type"":""string"",""value"":""""},""custom_field_222574"":{""data_type"":""rich_text"",""value"":""""},""custom_field_222575"":{""data_type"":""rich_text"",""value"":""""},""custom_field_222576"":{""data_type"":""boolean"",""value"":false},""custom_field_222577"":{""data_type"":""boolean"",""value"":false},""custom_field_222578"":{""data_type"":""boolean"",""value"":null},""custom_field_251686"":{""data_type"":""boolean"",""value"":null},""custom_field_251687"":{""data_type"":""boolean"",""value"":null},""custom_field_251688"":{""data_type"":""vendor"",""value"":null},""custom_field_251689"":{""data_type"":""vendor"",""value"":null},""custom_field_251728"":{""data_type"":""decimal"",""value"":null}}",11109
5847075,amount,,,4054.00,2020-11-10 00:00:00.000,,,2020-11-10 17:58:54.000,"{""Subcontract Type "":""Standard Subcontract with Exhibits"",""Billing Date"":"""",""PO Inclusions"":"""",""PO Exclusions"":"""",""Bond Required"":""No"",""Supplier shall coordinate his materials with other portions of the work and in accordance with job sequencing"":""No""}",,"","",true,,20835.00,"<p>Spray applied fireproofing based on CBC type IA construction</p>
<p>Includes necessary protections and site clean-up</p>",,,SC-4200030-008,,,"4200030-45378100",0.00,24889.00,100.00,true,0.00,true,,,24889.00,2020-11-10 00:00:00.000,Approved,Fireproofing,0.00,24889.00,24889.00,2021-10-27 14:34:52.000,16745949,SPRAY INSULATIONS INC *,,1129288,2021-12-08 18:01:17.986,"{""custom_field_222572"":{""data_type"":""lov_entry"",""value"":{""id"":165948,""label"":""Standard Subcontract with Exhibits""}},""custom_field_222573"":{""data_type"":""string"",""value"":""""},""custom_field_222574"":{""data_type"":""rich_text"",""value"":""""},""custom_field_222575"":{""data_type"":""rich_text"",""value"":""""},""custom_field_222576"":{""data_type"":""boolean"",""value"":false},""custom_field_222577"":{""data_type"":""boolean"",""value"":false},""custom_field_222578"":{""data_type"":""boolean"",""value"":null},""custom_field_251686"":{""data_type"":""boolean"",""value"":null},""custom_field_251687"":{""data_type"":""boolean"",""value"":null},""custom_field_251688"":{""data_type"":""vendor"",""value"":null},""custom_field_251689"":{""data_type"":""vendor"",""value"":null},""custom_field_251728"":{""data_type"":""decimal"",""value"":null}}",11109
